timestamp,asset_id,asset_type,temperature_c,vibration_mm_s,pressure_bar,rpm,operating_hours
2026-08-10T08:00:00,PUMP-101,Centrifugal Pump,64,2.1,7.4,1780,6210
2026-08-10T12:00:00,PUMP-101,Centrifugal Pump,66,2.3,7.3,1790,6214
2026-08-10T16:00:00,PUMP-101,Centrifugal Pump,69,2.8,7.1,1810,6218
2026-08-11T08:00:00,PUMP-101,Centrifugal Pump,73,3.5,6.9,1840,6234
2026-08-11T12:00:00,PUMP-101,Centrifugal Pump,78,4.6,6.5,1880,6238
2026-08-11T16:00:00,PUMP-101,Centrifugal Pump,84,6.8,5.9,1940,6242
2026-08-10T08:00:00,MOTOR-204,Induction Motor,55,1.7,5.2,1460,3180
2026-08-10T12:00:00,MOTOR-204,Induction Motor,56,1.8,5.2,1465,3184
2026-08-10T16:00:00,MOTOR-204,Induction Motor,57,1.9,5.1,1470,3188
2026-08-11T08:00:00,MOTOR-204,Induction Motor,58,2.0,5.1,1472,3204
2026-08-11T12:00:00,MOTOR-204,Induction Motor,58,2.0,5.0,1475,3208
2026-08-11T16:00:00,MOTOR-204,Induction Motor,59,2.1,5.0,1478,3212
2026-08-10T08:00:00,COMP-310,Air Compressor,72,3.4,9.1,2240,8840
2026-08-10T12:00:00,COMP-310,Air Compressor,74,3.6,9.0,2250,8844
2026-08-10T16:00:00,COMP-310,Air Compressor,75,3.9,8.8,2260,8848
2026-08-11T08:00:00,COMP-310,Air Compressor,77,4.2,8.7,2270,8864
2026-08-11T12:00:00,COMP-310,Air Compressor,81,5.3,8.2,2300,8868
2026-08-11T16:00:00,COMP-310,Air Compressor,88,7.2,7.4,2380,8872
2026-08-10T08:00:00,FAN-118,Cooling Fan,47,1.3,4.2,1160,1920
2026-08-10T12:00:00,FAN-118,Cooling Fan,47,1.4,4.2,1162,1924
2026-08-10T16:00:00,FAN-118,Cooling Fan,48,1.4,4.1,1165,1928
2026-08-11T08:00:00,FAN-118,Cooling Fan,48,1.5,4.1,1168,1944
2026-08-11T12:00:00,FAN-118,Cooling Fan,49,1.5,4.1,1170,1948
2026-08-11T16:00:00,FAN-118,Cooling Fan,49,1.6,4.0,1172,1952
